iso2,BE,DK,FR,DE,IS,IE,NL,NO,PT,ES,SE,GB,AO,BJ,CM,CV,CD,GQ,GA,GM,GH,GN,GW,CI,LR,MR,MA,NA,NG,CG,ST,SN,SL,ZA,TG,AR,BR,CL,CO,GF,GY,SR,UY,VE,BS,BB,CU,DM,DO,HT,JM,KN,LC,TT,BZ,CA,CR,GT,HN,MX,NI,PA,US
GH,4782.361322,5432.72668514,4312.42543954,4910.14992654,6467.48359321,5072.55151737,4947.88755301,5978.33683076,3664.8506007,3600.14141454,6166.05885111,5013.95624232,3064.24133663,495.625937319,1523.89093086,2568.90749611,3012.61992417,1476.97516998,1728.87951138,1666.37179138,0.0,1104.65830125,1544.42822782,481.038742042,943.732118769,1685.44765976,2794.47791478,3906.9140647,1040.42824826,2106.07791655,1225.51957892,1684.6400466,1167.96467981,5013.18888279,268.729463737,8246.39054515,6113.97057533,8193.97262736,7962.08163999,5775.22058019,6395.97522894,6066.92110463,7360.70404979,7161.60186243,8320.14775956,6399.17962394,8311.11769852,6590.21797267,7582.90192091,7745.49009563,8281.58970235,6741.89672731,6550.24016153,6594.70899154,9482.43001393,10276.2206736,9076.08747815,9700.16488188,9328.96334359,10796.0333683,9157.60130353,8765.95763892,10082.0618943
GN,4698.10993563,5373.29686423,4219.23440948,4908.05452338,6075.83607428,4764.13512024,4864.62740571,5870.58705163,3337.25739212,3393.15887769,6118.73427603,4811.4309223,4040.43786408,1467.8863443,2626.86933661,1470.77877414,4110.28344768,2565.67085186,2801.26647728,588.856261222,1104.65830125,0.0,446.271836696,669.456718023,441.491861319,1095.22216244,2535.11837376,4753.61336098,2089.78741728,3201.52003195,2254.16957372,664.894630441,229.042199171,5838.80645044,1332.03059885,7643.39021367,5228.15627397,7395.28300129,6891.28220665,4723.35746792,5331.70520643,5010.31697552,6784.23761911,6079.68785179,7227.58986624,5298.64705438,7210.54130826,5486.2418336,6479.08756004,6641.81142496,7177.33330338,5637.25058335,5448.23852312,5501.34783254,8378.17981622,9502.65909899,7978.21414851,8595.51330455,8224.49717266,9708.85133084,8054.76699352,7673.07617687,9081.4737518
GW,4633.60713045,5307.58822012,4160.8365497,4873.26941625,5867.20990225,4606.3386605,4797.50962312,5778.29425692,3203.37638254,3309.28520004,6047.6848098,4696.39046999,4476.48142167,1876.59494415,3061.66571777,1025.61657702,4554.35314152,3010.95490524,3247.51775442,167.989581475,1544.42822782,446.271836696,0.0,1115.53877235,817.120962026,1016.27128226,2464.26248071,5161.94673621,2502.9162976,3645.97596825,2699.49940307,322.452420731,505.454079871,6237.69560044,1761.07787192,7496.09614789,4955.49196442,7154.62911842,6493.20623964,4345.21766709,4941.83804372,4627.46638341,6656.76419984,5673.50827751,6781.86551903,4872.91774315,6767.21590581,5053.53341702,6038.86007576,6201.34312692,6738.04673513,5200.1454918,5019.96897925,5084.60876592,7938.80900977,9133.710472,7554.51027719,8158.79937628,7789.31923955,9262.70869327,7623.9416052,7254.97898445,8648.045069
CI,4880.49104506,5546.05210085,4402.64792254,5043.83585327,6440.86407045,5075.49132781,5047.72778499,6074.50573158,3646.08998581,3633.41799767,6288.8362817,5063.06811955,3384.5822748,939.576274,1992.11366635,2138.07016795,3448.62134114,1901.54194612,2132.80241194,1255.40423673,481.038742042,669.456718023,1115.53877235,0.0,465.138822592,1497.02037908,2791.30291891,4141.48166182,1519.20815995,2539.43549633,1585.23183174,1307.45310036,694.975725504,5238.3201978,742.673832054,7860.78558264,5650.57648812,7752.96097109,7483.34224212,5294.79423648,5916.62212589,5586.80847081,6980.9558151,6685.6388112,7894.66413227,5934.52115981,7872.75298113,6132.16666528,7136.13516071,7299.19476543,7832.50817379,6289.75026927,6087.61361699,6123.8675366,9033.0058625,10071.0969403,8607.59151359,9245.66544249,8872.26263831,10377.0398408,8695.48905864,8294.03808731,9737.54912587
LR,5071.01713831,5744.25165865,4591.19190516,5263.89021001,6503.24193635,5177.60522986,5238.20521909,6253.52763812,3746.73591656,3782.01766738,6490.14338833,5207.93154285,3677.61358105,1401.76338324,2434.59297509,1789.33146494,3851.59640437,2306.13107877,2516.98488993,980.771864496,943.732118769,441.491861319,817.120962026,465.138822592,0.0,1513.25169009,2924.97254814,4344.82670519,1983.62957555,2945.13403445,1947.26275046,1088.86747763,314.94775545,5421.88820075,1207.57285805,7455.12031455,5190.0038146,7305.46104576,7032.31506632,4839.19267819,5464.42036643,5132.31871901,6581.69814299,6241.08094715,7522.34656458,5510.57613606,7483.83511868,5718.2881773,6737.04794635,6900.50855205,7429.23627522,5884.38023474,5666.72843429,5689.31252891,8627.79443439,9934.75026548,8175.22478417,8833.31978341,8457.22237627,10008.1533667,8272.82152599,7856.19547918,9455.23463694
MR,3629.59719796,4304.84696071,3153.88167853,3860.5183919,4990.79444997,3669.07710357,3794.76960727,4789.11892976,2242.30223124,2311.90477305,5047.93462219,3721.0634608,4738.37636873,1746.94987904,2969.78805535,1523.75388904,4517.13657547,3071.93489338,3347.44727544,929.327565717,1685.44765976,1095.22216244,1016.27128226,1497.02037908,1513.25169009,0.0,1458.01772694,5589.15342914,2307.92232436,3651.37805666,2898.07624106,757.51933229,1311.87668953,6694.19892382,1770.28546384,8472.52384067,5818.56082874,8043.89453279,7026.00641753,4990.40384104,5533.8130191,5250.91693849,7646.92333534,6183.4665291,6911.36015051,5289.46191687,6962.99841748,5412.08822285,6297.01337952,6453.21106925,6996.13522131,5512.98165604,5414.9184021,5552.02637127,8177.55014338,8598.58828697,7937.07085707,8425.2022074,8076.66768462,9331.02118731,7952.7804378,7677.04127335,8455.85576132
MA,2171.6698855,2846.84392986,1696.90571714,2411.51875178,3673.15299786,2286.83519747,2336.75312243,3335.5924123,870.927132121,858.179134718,3590.04518234,2283.50294269,5588.9722235,2607.55277712,3595.82152645,2667.98431318,5028.65798798,3856.67046956,4139.81953639,2356.07575683,2794.47791478,2535.11837376,2464.26248071,2791.30291891,2924.97254814,1458.01772694,0.0,6575.26602756,2940.84235301,4301.59369199,3844.68407227,2175.00127995,2758.91953206,7671.45296019,2752.95475209,9786.98965713,6975.29197396,9200.12951639,7666.62588456,5880.01944979,6325.41161202,6098.76564979,8996.84641516,6830.32257631,6982.34373738,5859.45356637,7125.54848738,5895.64315227,6585.81559726,6723.98856684,7245.63903071,5927.38701782,5947.63307222,6174.3913336,8340.67621367,7660.80572399,8319.99902457,8616.99397418,8314.86281797,9196.22774848,8256.87325927,8129.02794744,7992.476704
NA,8194.96005544,8736.58791286,7788.9184011,8185.32693576,10146.8031468,8734.15723077,8341.01565102,9302.59987448,7428.66561537,7271.54897862,9368.47799385,8559.636928,1095.59661966,3977.75743461,3082.62808887,6083.36435495,2253.72499107,2742.05268813,2469.00815224,5324.90468113,3906.9140647,4753.61336098,5161.94673621,4141.48166182,4344.82670519,5589.15342914,6575.26602756,0.0,3669.27416584,2461.34283022,2738.85965813,5418.483275,4657.80696657,1106.89289201,3867.63896316,7953.24186419,7552.80610263,8739.48518586,10212.4715208,8186.57498571,8807.06133778,8466.30503798,7192.54346613,9641.14240584,11523.8262033,9247.70348676,11381.5487198,9531.46232838,10602.4039492,10759.2935076,11218.6036853,9754.30307217,9420.97333765,9292.60964833,12318.0509349,14181.8107023,11576.9326415,12433.3344573,12057.5070325,13910.8950517,11798.19453,11203.3340365,13741.3753132
NG,4580.49171641,5173.33971494,4149.23890266,4624.3049377,6480.73801401,5066.48583094,4735.61120863,5739.64822607,3773.88635061,3602.75925848,5864.06585229,4910.25113055,2651.01495587,626.651822448,677.230615141,3501.54226923,2213.75895174,927.414905106,1205.36308668,2596.79921064,1040.42824826,2089.78741728,2502.9162976,1519.20815995,1983.62957555,2307.92232436,2940.84235301,3669.27416584,0.0,1384.28078361,1058.33280241,2569.97985468,2189.90519974,4749.30504302,776.895515808,9155.64834339,7144.21009256,9192.84582391,8979.92073215,6802.88131772,7417.71960092,7092.61612301,8264.94234469,8169.41354243,9186.46780751,7374.4290231,9210.13551286,7547.28902679,8506.87843937,8667.5502501,9208.75721914,7683.18316557,7519.55049383,7587.00901439,10405.8900269,10601.6115291,10056.3688162,10637.1279586,10273.4407458,11630.2410069,10118.2861345,9757.81690764,10735.2664882
CG,5744.74386631,6275.91510202,5352.8938474,5725.04887346,7733.76469901,6333.54967059,5887.56653888,6841.54217171,5110.74697196,4905.98122758,6909.42005225,6127.66609856,1373.48538523,1905.22745143,709.617713275,4671.59228568,909.186913415,639.31296806,470.110145171,3772.10854666,2106.07791655,3201.52003195,3645.97596825,2539.43549633,2945.13403445,3651.37805666,4301.59369199,2461.34283022,1384.28078361,0.0,1042.00452725,3787.42171596,3226.40651877,3478.45797363,1924.26962723,9213.25516876,7731.09215737,9548.34400391,9914.99484458,7712.43427552,8351.02903223,8009.51869459,8339.19965872,9152.67398312,10426.025572,8454.16364517,10411.6486005,8663.22826457,9675.04187523,9838.20015352,10370.3543742,8826.40527102,8611.32804432,8623.37787139,11570.2617121,11952.8464671,11108.5893026,11778.3010234,11402.3533517,12901.6033609,11215.8346295,10780.1701495,12104.1270451
ST,5618.26208386,6222.52124977,5176.54727979,5675.31520782,7468.80562818,6054.26501064,5775.9767379,6787.42303558,4706.12351523,4575.8318062,6919.14417658,5927.02960268,1840.99145645,1239.70975786,834.046869225,3717.23546381,1925.18238405,457.145941749,582.0077781,2840.53022563,1225.51957892,2254.16957372,2699.49940307,1585.23183174,1947.26275046,2898.07624106,3844.68407227,2738.85965813,1058.33280241,1042.00452725,0.0,2884.00226599,2244.68004791,3843.07432118,1137.73626,8389.41868073,6718.04663412,8606.04676061,8873.86318194,6671.62603444,7310.96736597,6968.8304382,7502.26778077,8115.85631384,9467.44528444,7436.14762947,9430.9377244,7654.88706238,8681.96688018,8845.50358099,9371.79267102,7826.90568268,7595.98447846,7595.31328141,10568.2474258,11451.4054391,10077.9212085,10767.3647133,10388.8020501,11952.637632,10194.2726314,9745.56396267,11304.1599541
SN,4337.84316021,5010.22412143,3868.08604078,4586.5199693,5545.03961644,4289.39073544,4500.63634525,5473.16321641,2892.82091416,3011.35204297,5747.75550561,4387.28649333,4691.88283331,1947.36613636,3168.67973135,940.953547263,4690.3221573,3161.49455007,3411.57590122,182.00620997,1684.6400466,664.894630441,322.452420731,1307.45310036,1088.86747763,757.51933229,2175.00127995,5418.483275,2569.97985468,3787.42171596,2884.00226599,0.0,793.216598806,6503.2682059,1870.08728301,7716.14106801,5098.46340168,7315.13017681,6489.85885674,4380.15530925,4956.80017778,4654.27211746,6889.40469957,5658.86396725,6644.23090495,4820.57084161,6649.43481595,4981.7186855,5937.98646884,6099.07671242,6639.64066173,5113.57218188,4960.64812791,5051.74014921,7837.9598737,8845.97697239,7499.77654801,8067.32335345,7703.53318707,9114.55967894,7551.2747772,7213.1428279,8430.09794416
SL,4924.18894102,5599.51954411,4445.59127794,5136.10371882,6278.59463325,4977.58975,5090.55670486,6094.47926702,3553.63841123,3616.57605888,6344.74166546,5032.00791361,3990.54022068,1580.78452891,2686.76638762,1479.17864131,4135.01823976,2587.25088216,2807.94077318,671.422522969,1167.96467981,229.042199171,505.454079871,694.975725504,314.94775545,1311.87668953,2758.91953206,4657.80696657,2189.90519974,3226.40651877,2244.68004791,793.216598806,0.0,5732.31560758,1416.78536714,7429.97288943,5055.10628943,7207.1224746,6795.37280824,4613.12929526,5230.38282616,4903.39949886,6567.64616684,5993.63856145,7222.79186355,5239.90679643,7191.05124761,5439.62212846,6449.25056596,6612.52660742,7143.96528703,5600.0623436,5393.46404428,5429.15484652,8343.8846607,9634.98474163,7912.63454435,8554.02214152,8179.76787457,9707.98034813,8001.25508147,7599.66551345,9140.55608046
ZA,9220.17233403,9731.42104669,8831.25727293,9184.19671447,11207.8121973,9800.96925382,9360.34216163,10292.2013241,8519.44867301,8350.08394889,10328.9206734,9605.77476395,2112.47594594,5080.54194671,4137.60197031,7130.77275058,3082.05700786,3822.99083114,3544.1010087,6402.53208823,5013.18888279,5838.80645044,6237.69560044,5238.3201978,5421.88820075,6694.19892382,7671.45296019,1106.89289201,4749.30504302,3478.45797363,3843.07432118,6503.2682059,5732.31560758,0.0,4973.96449324,7972.67125012,8097.67285095,8951.14364381,10833.0251938,8943.60116213,9536.46422579,9207.77321561,7311.18358424,10353.2975447,12388.4076821,10075.2191339,12207.0146888,10374.7067547,11435.5591593,11586.0002942,12006.7684208,10610.3114677,10248.7179987,10078.4369035,13031.1284647,15288.6716898,12210.7112307,13105.6046722,12744.9960865,14659.9070855,12467.6550592,11834.2629667,14727.7119854
TG,4669.75269689,5309.46618446,4206.41690014,4778.36933385,6415.35907855,5009.73083745,4833.62939044,5862.10379466,3622.73145812,3529.85476003,6035.48657334,4926.38535879,2971.8275077,246.581873329,1302.46822246,2778.50038311,2822.09649181,1314.17816695,1582.75395194,1871.01802502,268.729463737,1332.03059885,1761.07787192,742.673832054,1207.57285805,1770.28546384,2752.95475209,3867.63896316,776.895515808,1924.26962723,1137.73626,1870.08728301,1416.78536714,4973.96449324,0.0,8499.29116065,6382.63220337,8460.82382563,8211.54110374,6029.3897464,6647.09850524,6320.04940797,7612.21417862,7406.35975315,8514.31185691,6630.28792973,8516.09822496,6814.49040714,7795.88623284,7957.92128545,8496.15682074,6960.4564133,6779.12532836,6832.72382201,9696.48928682,10316.8051719,9310.2264629,9918.97662892,9550.1838493,10982.4047086,9384.51028118,9004.4920787,10213.5300717
AR,11758.3534469,12354.7086274,11354.1623051,12084.8256563,11863.6192606,11286.1172801,11894.6024374,12629.9537593,10254.0657656,10510.5441087,12979.2007119,11590.4917703,8575.40149254,8740.40740134,9221.03188333,7121.21455783,9726.50465523,8827.43086169,8800.29323858,7550.85204934,8246.39054515,7643.39021367,7496.09614789,7860.78558264,7455.12031455,8472.52384067,9786.98965713,7953.24186419,9155.64834339,9213.25516876,8389.41868073,7716.14106801,7429.97288943,7972.67125012,8499.29116065,0.0,2999.12621777,1396.73691618,4449.68188583,4548.89718131,4518.27600114,4502.66513521,891.007933264,4732.46185386,6815.54175601,5434.60990965,6447.90240229,5675.09656881,6083.31653668,6115.3147585,6095.36011155,5873.89142121,5503.11837019,5120.04585268,6356.23842422,11281.3477099,5420.84246942,6233.54117,6038.5050905,7689.13854228,5761.56509152,5144.80542953,9026.93331937
BR,8813.2167458,9383.27407713,8436.82186802,9154.39100112,8892.54269711,8293.7032151,8940.61496964,9635.43047306,7334.63336835,7621.94069991,9986.9707586,8611.44455583,7682.84760274,6590.15160265,7455.76962617,4339.09462336,8509.85987142,7171.4204502,7262.27805619,4961.08183268,6113.97057533,5228.15627397,4955.49196442,5650.57648812,5190.0038146,5818.56082874,6975.29197396,7552.80610263,7144.21009256,7731.09215737,6718.04663412,5098.46340168,5055.10628943,8097.67285095,6382.63220337,2999.12621777,0.0,2231.5512025,2751.84936825,1636.03794283,1851.26211603,1687.79399498,2470.35130455,2463.50779351,4781.13408581,2757.57442266,4475.78541896,3060.63650226,3839.61632112,3939.79009813,4177.88929735,3305.60364704,2880.77328641,2531.19744604,4997.03994753,9255.34808156,4123.18873421,5031.52113989,4689.88337426,6621.29940661,4401.13426552,3748.52649474,7317.12201817
CL,10962.6976185,11491.6733464,10613.3146604,11315.0063983,10738.2822052,10359.7805288,11078.9180643,11676.1744497,9517.5341377,9820.59597566,12034.303284,10712.945721,9175.44977695,8684.40007317,9403.65606816,6570.6423665,10206.5990217,9062.08584139,9096.92175813,7171.43870283,8193.97262736,7395.28300129,7154.62911842,7752.96097109,7305.46104576,8043.89453279,9200.12951639,8739.48518586,9192.84582391,9548.34400391,8606.04676061,7315.13017681,7207.1224746,8951.14364381,8460.82382563,1396.73691618,2231.5512025,0.0,3063.43884092,3512.04841606,3336.54358947,3396.74810667,1680.94340394,3415.35007252,5424.91944382,4207.59922533,5056.07668288,4414.75546783,4722.49080865,4744.60417552,4703.01380868,4591.49260683,4251.88684613,3872.81406366,4978.04890366,9886.64936796,4035.9518358,4869.80024282,4657.43224142,6368.98602572,4376.34830164,3751.47788995,7641.55785452
CO,8819.3758117,9182.87694482,8606.12094543,9186.80783685,8022.14859197,8022.68180653,8888.58662318,9199.46960958,7633.53926825,7997.70278087,9549.06146703,8439.55008368,10178.4335186,8359.11299601,9465.77886617,5555.17352494,10787.1663955,9292.0065761,9453.86708627,6422.3707252,7962.08163999,6891.28220665,6493.20623964,7483.34224212,7032.31506632,7026.00641753,7666.62588456,10212.4715208,8979.92073215,9914.99484458,8873.86318194,6489.85885674,6795.37280824,10833.0251938,8211.54110374,4449.68188583,2751.84936825,3063.43884092,0.0,2202.82721986,1568.42108635,1906.13295462,4464.5437366,845.54997021,2367.34790986,1808.30712176,2002.36557993,1818.77740933,1701.84066192,1698.94807178,1652.42402276,1871.78695567,1733.9728549,1495.8713096,2251.70277614,6889.34814066,1377.72030726,2280.2891797,1939.79778337,3869.971128,1649.53486446,1001.23834727,4735.35326566
GF,7469.95937914,7981.93450992,7146.03814326,7828.24754299,7314.90080219,6847.8069612,7579.59486726,8168.34405686,6068.49297907,6395.94698444,8525.80028958,7203.08891461,8033.64071971,6188.37401498,7268.92856049,3473.27693653,8587.73052722,7089.24423998,7252.07559892,4291.80153068,5775.22058019,4723.35746792,4345.21766709,5294.79423648,4839.19267819,4990.40384104,5880.01944979,8186.57498571,6802.88131772,7712.43427552,6671.62603444,4380.15530925,4613.12929526,8943.60116213,6029.3897464,4548.89718131,1636.03794283,3512.04841606,2202.82721986,0.0,643.635946508,297.460132638,4098.5444386,1475.57286631,3514.83630524,1240.2038362,3283.11160437,1563.11942369,2537.18202892,2674.14653229,3063.68225604,1819.76161646,1397.53344072,1145.75394744,4131.87420501,7779.34978379,3456.87537135,4260.18414979,3879.74629094,5733.85327564,3634.73935372,3102.28779404,6044.54969462
GY,7770.78515571,8237.94994114,7481.99101198,8135.38820136,7403.37433136,7083.20511229,7867.76605553,8370.82809114,6432.36458894,6775.97404641,8729.53600698,7463.1025545,8674.48639322,6799.26742278,7897.47139814,4033.1763183,9228.97448635,7725.80561887,7891.90156877,4878.97821987,6395.97522894,5331.70520643,4941.83804372,5916.62212589,5464.42036643,5533.8130191,6325.41161202,8807.06133778,7417.71960092,8351.02903223,7310.96736597,4956.80017778,5230.38282616,9536.46422579,6647.09850524,4518.27600114,1851.26211603,3336.54358947,1568.42108635,643.635946508,0.0,347.795745077,4196.40848194,837.506857615,3004.18099893,932.958183379,2738.63421178,1217.4468641,2033.83883229,2153.59045221,2489.09154379,1456.80462225,1037.03821313,680.004865685,3512.89647027,7410.45080493,2815.14255726,3630.0510962,3251.64297135,5127.92640085,3000.45516797,2459.00168072,5552.30094253
