iso2,BE,DK,FR,DE,IS,IE,NL,NO,PT,ES,SE,GB,AO,BJ,CM,CV,CD,GQ,GA,GM,GH,GN,GW,CI,LR,MR,MA,NA,NG,CG,ST,SN,SL,ZA,TG,AR,BR,CL,CO,GF,GY,SR,UY,VE,BS,BB,CU,DM,DO,HT,JM,KN,LC,TT,BZ,CA,CR,GT,HN,MX,NI,PA,US
SR,7626.2412756,8118.72025974,7317.64081297,7987.74728091,7374.7317941,6973.86479613,7730.33785646,8281.23425184,6251.29480032,6586.33227943,8639.68782596,7340.72968568,8326.81324031,6476.58573545,7563.33550877,3739.63058724,8885.17480595,7385.88423379,7549.36249163,4570.20951866,6066.92110463,5010.31697552,4627.46638341,5586.80847081,5132.31871901,5250.91693849,6098.76564979,8466.30503798,7092.61612301,8009.51869459,6968.8304382,4654.27211746,4903.39949886,9207.77321561,6320.04940797,4502.66513521,1687.79399498,3396.74810667,1906.13295462,297.460132638,347.795745077,0.0,4110.70839262,1183.83897983,3288.01840281,1081.8070051,3039.83018655,1396.83654529,2310.99081333,2440.58507539,2805.61970978,1650.18107006,1221.234559,919.608899468,3852.01571498,7625.85801203,3162.88187817,3974.01057534,3594.69500313,5461.52381723,3345.95451783,2806.6701396,5829.77461277
UY,11029.4239489,11650.8481135,10605.9717568,11341.0859425,11340.9010107,10629.550581,11173.2972353,11972.1307841,9515.31009236,9750.44992024,12311.3528108,10903.2849407,7752.74281385,7854.04320251,8333.00890456,6345.37825221,8878.81548444,7942.20463429,7920.67096037,6720.0611615,7360.70404979,6784.23761911,6656.76419984,6980.9558151,6581.69814299,7646.92333534,8996.84641516,7192.54346613,8264.94234469,8339.19965872,7502.26778077,6889.40469957,6567.64616684,7311.18358424,7612.21417862,891.007933264,2470.35130455,1680.94340394,4464.5437366,4098.5444386,4196.40848194,4110.70839262,0.0,4572.72669311,6805.78993241,5129.36351192,6451.67530629,5403.97607197,5976.92841252,6035.75685374,6108.49171833,5627.72783078,5225.09184254,4848.64320927,6559.8319068,11350.8817493,5608.90713695,6480.76958388,6234.78714623,8017.44654622,5944.20860013,5290.6247185,9179.63454632
VE,8058.43343544,8457.95630672,7821.60383935,8426.38215055,7414.94357535,7294.06300413,8136.81693129,8516.80709368,6825.45822406,7185.6741103,8871.70385114,7700.45896031,9509.19692822,7545.77903293,8675.19999572,4721.32105409,10038.5900605,8522.55582779,8697.71300568,5596.96630802,7161.60186243,6079.68785179,5673.50827751,6685.6388112,6241.08094715,6183.4665291,6830.32257631,9641.14240584,8169.41354243,9152.67398312,8115.85631384,5658.86396725,5993.63856145,10353.2975447,7406.35975315,4732.46185386,2463.50779351,3415.35007252,845.54997021,1475.57286631,837.506857615,1183.83897983,4572.72669311,0.0,2321.56606039,986.872571852,2012.46533635,1067.30761992,1412.68463353,1492.1924792,1723.07864997,1195.50242521,944.244442992,656.135857531,2683.66398575,6842.43371362,1982.3638375,2793.65462578,2416.39901929,4306.84416531,2163.02872513,1633.2956649,4853.7304111
BS,7424.05155193,7602.61463324,7358.70984048,7767.90905427,6123.49449723,6522.21350533,7443.27405854,7464.54201458,6626.2266571,6997.46283007,7782.0082688,6960.54557467,11139.2143581,8577.83514411,9810.24644716,5756.90133829,11332.4836581,9792.65817532,10027.0455222,6653.92057534,8320.14775956,7227.58986624,6781.86551903,7894.66413227,7522.34656458,6911.36015051,6982.34373738,11523.8262033,9186.46780751,10426.025572,9467.44528444,6644.23090495,7222.79186355,12388.4076821,8514.31185691,6815.54175601,4781.13408581,5424.91944382,2367.34790986,3514.83630524,3004.18099893,3288.01840281,6805.78993241,2321.56606039,0.0,2321.48821148,371.573175404,2015.19252689,977.973552713,850.637837824,724.59028891,1778.22828918,2149.35317057,2372.00793423,1374.55744314,4550.50968827,1748.37444343,1661.88272072,1431.4489109,2485.88967329,1505.64757451,1834.45838047,2548.71053394
BB,7080.99852342,7496.73921604,6836.98008608,7448.80206755,6539.92510792,6333.27645816,7163.06154248,7580.50310157,5838.72836085,6199.43314814,7937.6261934,6733.28874057,8968.6533707,6747.77767791,7923.01415967,3880.20287318,9357.32960608,7815.91869708,8015.54215641,4778.83271476,6399.17962394,5298.64705438,4872.91774315,5934.52115981,5510.57613606,5289.46191687,5859.45356637,9247.70348676,7374.4290231,8454.16364517,7436.14762947,4820.57084161,5239.90679643,10075.2191339,6630.28792973,5434.60990965,2757.57442266,4207.59922533,1808.30712176,1240.2038362,932.958183379,1081.8070051,5129.36351192,986.872571852,2321.48821148,0.0,2136.53540045,323.075833678,1360.65738621,1513.7432679,1982.20615232,579.686032853,173.684867691,351.284321081,3149.69482997,6548.21730894,2681.94947533,3333.54218737,2953.40109432,4672.27208615,2762.26271988,2394.38775512,4821.42341063
CU,7680.04282077,7886.3790213,7592.24597779,8029.40670853,6445.86613786,6788.2000779,7706.71843216,7769.34570009,6816.88124471,7190.34238771,8092.43372087,7226.06231141,11055.5019549,8593.7511578,9817.45479644,5742.21036028,11320.6765909,9774.29230236,9998.8826736,6646.85140025,8311.11769852,7210.54130826,6767.21590581,7872.75298113,7483.83511868,6962.99841748,7125.54848738,11381.5487198,9210.13551286,10411.6486005,9430.9377244,6649.43481595,7191.05124761,12207.0146888,8516.09822496,6447.90240229,4475.78541896,5056.07668288,2002.36557993,3283.11160437,2738.63421178,3039.83018655,6451.67530629,2012.46533635,371.573175404,2136.53540045,0.0,1850.68697724,779.385971198,622.820446192,353.52597998,1636.50455081,1962.88449927,2138.12643709,1223.96886816,4900.12550938,1422.89126193,1492.64723583,1201.02215038,2557.35838417,1216.78457958,1476.42168144,2841.3366547
DM,7008.10061435,7394.63151165,6787.67697803,7375.93384733,6361.72867516,6231.07341,7082.03276138,7449.52689586,5819.52567141,6185.8379399,7804.52777002,6640.617946,9222.84115793,6921.38189796,8113.08593013,4045.8370895,9569.77431448,8024.01373622,8231.63081179,4951.14811072,6590.21797267,5486.2418336,5053.53341702,6132.16666528,5718.2881773,5412.08822285,5895.64315227,9531.46232838,7547.28902679,8663.22826457,7654.88706238,4981.7186855,5439.62212846,10374.7067547,6814.49040714,5675.09656881,3060.63650226,4414.75546783,1818.77740933,1563.11942369,1217.4468641,1396.83654529,5403.97607197,1067.30761992,2015.19252689,323.075833678,1850.68697724,0.0,1071.30140045,1230.07117235,1726.37424222,256.645888621,180.428961783,557.488588168,2914.51372565,6229.53595814,2526.50670334,3115.07276709,2740.16148327,4401.10659454,2571.17680612,2270.46091498,4501.99025524
DO,7372.29981,7656.02307379,7228.78976401,7733.01530293,6369.05637805,6517.54661898,7418.8904813,7609.93428056,6367.05425022,6741.36718589,7950.18695453,6949.08362391,10283.8244982,7885.35260245,9098.32633843,5017.410949,10584.0208311,9036.20483115,9254.02659294,5924.92911459,7582.90192091,6479.08756004,6038.86007576,7136.13516071,6737.04794635,6297.01337952,6585.81559726,10602.4039492,8506.87843937,9675.04187523,8681.96688018,5937.98646884,6449.25056596,11435.5591593,7795.88623284,6083.31653668,3839.61632112,4722.49080865,1701.84066192,2537.18202892,2033.83883229,2310.99081333,5976.92841252,1412.68463353,977.973552713,1360.65738621,779.385971198,1071.30140045,0.0,163.573899044,702.025401891,862.180061435,1187.03391694,1394.07801787,1900.66930493,5432.99672786,1742.73677067,2132.4250529,1779.72316691,3332.92120255,1677.38443404,1615.87082564,3520.37133806
HT,7471.08990042,7740.70470708,7337.53856239,7830.11117097,6421.96970615,6608.39945346,7514.05856803,7680.95762459,6490.13345065,6864.64813766,8018.30205269,7041.67788083,10446.1856512,8046.41745712,9260.38376816,5179.51890641,10747.2124955,9199.40813739,9417.48013494,6086.91861562,7745.49009563,6641.81142496,6201.34312692,7299.19476543,6900.50855205,6453.21106925,6723.98856684,10759.2935076,8667.5502501,9838.20015352,8845.50358099,6099.07671242,6612.52660742,11586.0002942,7957.92128545,6115.3147585,3939.79009813,4744.60417552,1698.94807178,2674.14653229,2153.59045221,2440.58507539,6035.75685374,1492.1924792,850.637837824,1513.7432679,622.820446192,1230.07117235,163.573899044,0.0,543.106832175,1024.9961668,1340.08234046,1528.63333709,1739.00846392,5351.39392157,1618.13372792,1973.7152935,1624.87877142,3171.93577623,1533.80830517,1517.94841001,3399.22742109
JM,7908.16557838,8141.77524681,7798.46875548,8262.30085074,6742.19645119,7028.01950617,7942.1654332,8046.16871591,6983.59390223,7358.07171927,8374.60035635,7464.50842043,10947.2799858,8586.99155108,9798.4855257,5717.68858391,11278.9236642,9731.21346775,9945.8520581,6625.3928891,8281.58970235,7177.33330338,6738.04673513,7832.50817379,7429.23627522,6996.13522131,7245.63903071,11218.6036853,9208.75721914,10370.3543742,9371.79267102,6639.64066173,7143.96528703,12006.7684208,8496.15682074,6095.36011155,4177.88929735,4703.01380868,1652.42402276,3063.68225604,2489.09154379,2805.61970978,6108.49171833,1723.07864997,724.59028891,1982.20615232,353.52597998,1726.37424222,702.025401891,543.106832175,0.0,1544.97469207,1811.46473031,1930.9182891,1200.84765336,5242.39070636,1157.60813215,1430.73501221,1083.82296019,2693.71384696,1016.67396111,1154.91900836,3147.74823262
KN,6950.25037786,7312.64813148,6749.16325144,7317.32378371,6220.61650424,6151.52916685,7017.52733887,7344.37841009,5807.54125808,6177.29347522,7697.06156456,6567.76845891,9421.76627654,7058.85692017,8261.80682639,4184.06060644,9734.6715923,8187.15972824,8400.8943908,5091.6539521,6741.89672731,5637.25058335,5200.1454918,6289.75026927,5884.38023474,5512.98165604,5927.38701782,9754.30307217,7683.18316557,8826.40527102,7826.90568268,5113.57218188,5600.0623436,10610.3114677,6960.4564133,5873.89142121,3305.60364704,4591.49260683,1871.78695567,1819.76161646,1456.80462225,1650.18107006,5627.72783078,1195.50242521,1778.22828918,579.686032853,1636.50455081,256.645888621,862.180061435,1024.9961668,1544.97469207,0.0,428.997118161,782.306401049,2743.86916459,5975.67925663,2430.77168213,2958.6539289,2590.70550802,4193.42296974,2443.18316298,2205.34283535,4249.55173003
LC,7115.02358281,7514.84458792,6883.4277357,7482.97886868,6512.49500424,6350.89880355,7192.70987618,7582.0830813,5900.12711241,6263.8107112,7938.06682751,6756.37980627,9137.50020136,6892.99869705,8074.10104808,4021.41122492,9515.64107289,7972.68148267,8174.70925406,4922.93077202,6550.24016153,5448.23852312,5019.96897925,6087.61361699,5666.72843429,5414.9184021,5947.63307222,9420.97333765,7519.55049383,8611.32804432,7595.98447846,4960.64812791,5393.46404428,10248.7179987,6779.12532836,5503.11837019,2880.77328641,4251.88684613,1733.9728549,1397.53344072,1037.03821313,1221.234559,5225.09184254,944.244442992,2149.35317057,173.684867691,1962.88449927,180.428961783,1187.03391694,1340.08234046,1811.46473031,428.997118161,0.0,383.07392968,2983.74034796,6404.64957634,2539.12904085,3171.81871192,2792.82268946,4500.06477845,2607.88412538,2262.57573318,4654.91866479
TT,7429.17298561,7847.70413657,7180.90915559,7796.87996048,6882.82178377,6684.32671983,7512.29622869,7931.32138045,6175.3399136,6533.9809777,8288.33499913,7083.736937,9071.45670336,6961.06049145,8115.91585586,4111.19403167,9520.31135099,7987.78760726,8176.79177061,4999.35071879,6594.70899154,5501.34783254,5084.60876592,6123.8675366,5689.31252891,5552.02637127,6174.3913336,9292.60964833,7587.00901439,8623.37787139,7595.31328141,5051.74014921,5429.15484652,10078.4369035,6832.72382201,5120.04585268,2531.19744604,3872.81406366,1495.8713096,1145.75394744,680.004865685,919.608899468,4848.64320927,656.135857531,2372.00793423,351.284321081,2138.12643709,557.488588168,1394.07801787,1528.63333709,1930.9182891,782.306401049,383.07392968,0.0,3046.51562037,6732.21193862,2486.18390173,3204.83070635,2821.73690257,4618.45805218,2605.15027104,2171.76941378,4910.61891991
BZ,8771.02898308,8912.38869792,8723.02832912,9108.31991147,7350.54798661,7860.61940437,8782.23327003,8731.89727814,8000.57011826,8371.9615509,9033.06663612,8298.31588755,12113.6178561,9785.24844055,10998.9007987,6917.99108976,12478.5242963,10931.0256933,11143.6604594,7825.57009787,9482.43001393,8378.17981622,7938.80900977,9033.0058625,8627.79443439,8177.55014338,8340.67621367,12318.0509349,10405.8900269,11570.2617121,10568.2474258,7837.9598737,8343.8846607,13031.1284647,9696.48928682,6356.23842422,4997.03994753,4978.04890366,2251.70277614,4131.87420501,3512.89647027,3852.01571498,6559.8319068,2683.66398575,1374.55744314,3149.69482997,1223.96886816,2914.51372565,1900.66930493,1739.00846392,1200.84765336,2743.86916459,2983.74034796,3046.51562037,0.0,4958.97318496,950.992481754,290.848656835,325.565321012,1632.5181409,620.229452208,1288.81062212,2674.89505786
CA,6453.69337703,6119.65594106,6747.27910687,6605.63261602,4389.61042308,5700.46043248,6348.79999621,5635.63424778,6842.21675709,7060.69641488,5751.25001838,5990.25105079,13246.0204512,10219.6374807,11252.5678924,8345.04553648,12599.0005515,11513.0042928,11797.2328388,8965.93021223,10276.2206736,9502.65909899,9133.710472,10071.0969403,9934.75026548,8598.58828697,7660.80572399,14181.8107023,10601.6115291,11952.8464671,11451.4054391,8845.97697239,9634.98474163,15288.6716898,10316.8051719,11281.3477099,9255.34808156,9886.64936796,6889.34814066,7779.34978379,7410.45080493,7625.85801203,11350.8817493,6842.43371362,4550.50968827,6548.21730894,4900.12550938,6229.53595814,5432.99672786,5351.39392157,5242.39070636,5975.67925663,6404.64957634,6732.21193862,4958.97318496,0.0,5871.57294999,5123.41220129,5265.83011421,3948.17236055,5531.78507171,6136.66624951,2297.25371989
CR,9064.65522531,9297.42964323,8947.81823449,9419.45187575,7867.11491308,8185.62518125,9099.59641054,9191.14549261,8107.90834264,8482.37655414,9515.18070974,8622.10403343,11489.5546726,9429.71699427,10598.9543832,6560.39621587,12003.0552576,10473.6280029,10659.788288,7460.62864175,9076.08747815,7978.21414851,7554.51027719,8607.59151359,8175.22478417,7937.07085707,8319.99902457,11576.9326415,10056.3688162,11108.5893026,10077.9212085,7499.77654801,7912.63454435,12210.7112307,9310.2264629,5420.84246942,4123.18873421,4035.9518358,1377.72030726,3456.87537135,2815.14255726,3162.88187817,5608.90713695,1982.3638375,1748.37444343,2681.94947533,1422.89126193,2526.50670334,1742.73677067,1618.13372792,1157.60813215,2430.77168213,2539.12904085,2486.18390173,950.992481754,5871.57294999,0.0,914.85430008,625.911814953,2512.30102279,340.723956341,376.543797114,3606.40131464
GT,9061.79711159,9200.83857835,9013.47609771,9398.84893215,7630.98427225,8151.13704389,9072.71677083,9016.11141217,8286.36325499,8658.15973381,9315.2161365,8588.77666729,12275.0186355,10014.3122035,11220.4588929,7141.66426031,12684.6529543,11139.0813039,11345.3756515,8049.46387674,9700.16488188,8595.51330455,8158.79937628,9245.66544249,8833.31978341,8425.2022074,8616.99397418,12433.3344573,10637.1279586,11778.3010234,10767.3647133,8067.32335345,8554.02214152,13105.6046722,9918.97662892,6233.54117,5031.52113989,4869.80024282,2280.2891797,4260.18414979,3630.0510962,3974.01057534,6480.76958388,2793.65462578,1661.88272072,3333.54218737,1492.64723583,3115.07276709,2132.4250529,1973.7152935,1430.73501221,2958.6539289,3171.81871192,3204.83070635,290.848656835,5123.41220129,914.85430008,0.0,383.134680186,1597.44749137,638.593065838,1284.58324977,2827.79736596
HN,8855.16163163,9028.90242079,8783.02064745,9199.3577999,7510.51096208,7953.57187411,8874.70096408,8874.21557364,8017.90235813,8391.3568784,9184.06831791,8391.90234063,11891.9304151,9649.44367605,10850.6845453,6774.72471949,12307.7948735,10763.3085525,10967.4430865,7682.22570644,9328.96334359,8224.49717266,7789.31923955,8872.26263831,8457.22237627,8076.66768462,8314.86281797,12057.5070325,10273.4407458,11402.3533517,10388.8020501,7703.53318707,8179.76787457,12744.9960865,9550.1838493,6038.5050905,4689.88337426,4657.43224142,1939.79778337,3879.74629094,3251.64297135,3594.69500313,6234.78714623,2416.39901929,1431.4489109,2953.40109432,1201.02215038,2740.16148327,1779.72316691,1624.87877142,1083.82296019,2590.70550802,2792.82268946,2821.73690257,325.565321012,5265.83011421,625.911814953,383.134680186,0.0,1931.83272568,295.995974605,965.716247534,2989.2351774
MX,9106.62416694,9075.88665848,9179.12175869,9396.14995159,7341.29020053,8188.0466253,9075.35523657,8763.2004128,8680.9311803,9030.06410494,9004.11143124,8604.78283539,13611.5889726,11032.9157305,12269.7995295,8239.00213531,13804.4235398,12271.4915697,12509.8420475,9131.54664941,10796.0333683,9708.85133084,9262.70869327,10377.0398408,10008.1533667,9331.02118731,9196.22774848,13910.8950517,11630.2410069,12901.6033609,11952.637632,9114.55967894,9707.98034813,14659.9070855,10982.4047086,7689.13854228,6621.29940661,6368.98602572,3869.971128,5733.85327564,5127.92640085,5461.52381723,8017.44654622,4306.84416531,2485.88967329,4672.27208615,2557.35838417,4401.10659454,3332.92120255,3171.93577623,2693.71384696,4193.42296974,4500.06477845,4618.45805218,1632.5181409,3948.17236055,2512.30102279,1597.44749137,1931.83272568,0.0,2220.44618146,2880.5245026,1783.13703717
NI,8896.22821468,9099.91317472,8801.89460703,9246.09141806,7625.97730013,8004.94270502,8923.49089201,8970.01388582,7999.57670577,8373.99226329,9287.54960949,8442.83213651,11661.883776,9492.50167357,10681.3132265,6616.74582888,12117.5818677,10577.8930134,10774.7574364,7522.32348223,9157.60130353,8054.76699352,7623.9416052,8695.48905864,8272.82152599,7952.7804378,8256.87325927,11798.19453,10118.2861345,11215.8346295,10194.2726314,7551.2747772,8001.25508147,12467.6550592,9384.51028118,5761.56509152,4401.13426552,4376.34830164,1649.53486446,3634.73935372,3000.45516797,3345.95451783,5944.20860013,2163.02872513,1505.64757451,2762.26271988,1216.78457958,2571.17680612,1677.38443404,1533.80830517,1016.67396111,2443.18316298,2607.88412538,2605.15027104,620.229452208,5531.78507171,340.723956341,638.593065838,295.995974605,2220.44618146,0.0,669.747402061,3265.73985858
PA,8987.09215675,9256.74641349,8843.44084332,9346.97104789,7893.72464355,8126.33161774,9031.56155752,9183.73650709,7963.87343407,8337.2355827,9516.33420794,8559.5928429,11129.8623086,9131.57278568,10286.1206138,6272.28809166,11669.565109,10147.6691471,10327.5619397,7166.70792034,8765.95763892,7673.07617687,7254.97898445,8294.03808731,7856.19547918,7677.04127335,8129.02794744,11203.3340365,9757.81690764,10780.1701495,9745.56396267,7213.1428279,7599.66551345,11834.2629667,9004.4920787,5144.80542953,3748.52649474,3751.47788995,1001.23834727,3102.28779404,2459.00168072,2806.6701396,5290.6247185,1633.2956649,1834.45838047,2394.38775512,1476.42168144,2270.46091498,1615.87082564,1517.94841001,1154.91900836,2205.34283535,2262.57573318,2171.76941378,1288.81062212,6136.66624951,376.543797114,1284.58324977,965.716247534,2880.5245026,669.747402061,0.0,3897.83470839
US,7525.89984636,7414.34881353,7665.65907015,7783.89201873,5645.63201307,6628.74592012,7473.37651338,7057.52210848,7345.74210724,7662.81656804,7276.54656928,7021.90563372,13121.4488067,10202.488425,11410.0798293,7678.97215932,12943.2442412,11525.1152841,11796.2707237,8493.89685068,10082.0618943,9081.4737518,8648.045069,9737.54912587,9455.23463694,8455.85576132,7992.476704,13741.3753132,10735.2664882,12104.1270451,11304.1599541,8430.09794416,9140.55608046,14727.7119854,10213.5300717,9026.93331937,7317.12201817,7641.55785452,4735.35326566,6044.54969462,5552.30094253,5829.77461277,9179.63454632,4853.7304111,2548.71053394,4821.42341063,2841.3366547,4501.99025524,3520.37133806,3399.22742109,3147.74823262,4249.55173003,4654.91866479,4910.61891991,2674.89505786,2297.25371989,3606.40131464,2827.79736596,2989.2351774,1783.13703717,3265.73985858,3897.83470839,0.0
